timestamp,target_id,x,y,shape_hit
1764257267.5628471,c1,190,173,True
1764257268.177117,c2,812,560,True
1764257268.7922459,c3,136,615,True
1764257269.4439647,c4,664,214,True
1764257270.08916,c5,411,395,True
1764257270.472288,c1,140,119,True
1764257271.0723407,c2,899,584,True
1764257271.604009,c3,200,588,True
1764257272.349651,c4,657,241,True
1764257272.9929898,c5,484,396,True
1764257273.4341223,c1,159,116,True
1764257274.0430784,c2,821,564,True
1764257274.582876,c3,227,615,True
1764257275.1380968,c4,712,202,True
1764257275.56429,c5,377,419,True
1764257275.9920232,c1,116,145,True
1764257276.5228524,c2,843,611,True
1764257277.0340784,c3,199,617,True
1764257277.5751781,c4,707,200,True
1764257278.010137,c5,341,468,True
1764257278.5061383,c1,193,207,True
1764257279.0372176,c2,848,588,True
1764257279.511255,c3,195,666,True
1764257280.012131,c4,697,177,True
1764257280.7226036,c5,410,410,True
1764257281.1142912,c1,179,179,True
1764257281.6031303,c2,858,610,True
1764257282.2241359,c3,204,614,True
1764257282.7578511,c4,674,220,True
1764257283.2082489,c5,399,422,True
1764257283.6288054,c1,152,192,True
1764257284.1370459,c2,891,588,True
1764257284.6030722,c3,222,622,True
1764257285.0881114,c4,740,182,True
1764257285.5331578,c5,391,395,True
1764257286.0340028,c1,220,162,True
1764257286.5592425,c2,846,591,True
1764257287.0623138,c3,150,599,True
1764257287.5422535,c4,749,141,True
1764257287.9785159,c5,399,398,True
1764257288.4295573,c1,203,179,True
1764257288.9301445,c2,842,572,True
1764257289.3722906,c3,264,587,True
1764257289.8684995,c4,589,260,False
1764257290.1979623,c4,677,221,True
1764257290.6777873,c5,406,414,True
1764257291.1131847,c1,213,158,True
1764257291.5993068,c2,872,619,True
1764257292.1243095,c3,160,600,True
1764257292.6477847,c4,732,196,True
1764257293.1383944,c5,404,380,True
1764257293.6032481,c1,211,171,True
1764257294.1871138,c2,773,535,True
1764257294.6520889,c3,158,593,True
1764257295.3959107,c4,733,172,True
1764257295.8739204,c5,358,422,True
1764257296.286936,c1,232,169,True
1764257296.8274274,c2,780,564,True
1764257297.3531733,c3,204,612,True
1764257297.8470855,c4,698,185,True
1764257298.2822452,c5,360,436,True
1764257298.8147438,c1,247,181,True
1764257299.3242135,c2,843,615,True
1764257299.8801441,c3,215,619,True
1764257300.4423542,c4,717,215,True
1764257300.8830943,c5,370,413,True
1764257301.4079142,c1,250,186,True
1764257301.95769,c2,793,628,True
1764257302.4751463,c3,174,601,True
1764257303.061732,c4,728,236,True
1764257303.487307,c5,406,401,True
1764257304.289396,c1,213,141,True
1764257304.8581283,c2,841,570,True
1764257305.4231646,c3,172,610,True
1764257305.9561348,c4,737,214,True
1764257306.434054,c5,450,403,True
1764257306.959577,c1,160,137,True
1764257307.6651735,c2,790,578,True
1764257308.4371545,c3,134,592,True
1764257309.0760462,c4,735,199,True
1764257309.5180671,c5,411,362,True
1764257309.9671123,c1,122,119,True
1764257310.6941218,c2,826,571,True
1764257311.2721455,c3,212,604,True
1764257311.774066,c4,652,236,True
1764257312.2101521,c5,421,399,True
1764257313.147137,c1,246,185,True
1764257313.7267277,c2,818,581,True
1764257314.1729167,c3,128,617,True
1764257314.7533872,c4,734,189,True
1764257315.1780312,c5,395,418,True
1764257315.6742737,c1,228,174,True
1764257316.1543841,c2,869,580,True
1764257316.7391467,c3,171,595,True
1764257317.1982102,c4,741,187,True
1764257317.6230078,c5,355,461,True
1764257318.2331307,c1,183,138,True
1764257318.7632308,c2,846,577,True
1764257319.2373776,c3,142,611,True
1764257319.8673785,c4,712,190,True
1764257320.3109875,c5,426,400,True
1764257320.7603276,c1,204,172,True
1764257321.2849386,c2,873,563,True
1764257321.9313507,c3,170,584,True
1764257322.439269,c4,719,191,True
1764257322.883026,c5,359,417,True
1764257323.3479064,c1,210,166,True
1764257323.8351324,c2,860,586,True
1764257324.3840828,c3,180,619,True
1764257324.8621662,c4,713,164,True
1764257325.2522454,c5,330,407,True
1764257325.7411482,c1,189,92,True
1764257326.324422,c2,866,625,True
1764257326.7524064,c3,144,600,True
