timestamp,target_id,x,y,shape_hit
1764331400.0517554,c1,139,175,True
1764331400.578481,c2,785,552,True
1764331401.356456,c3,182,620,True
1764331402.263663,c4,748,185,True
1764331402.9747002,c5,418,392,True
1764331403.5903618,c1,182,182,True
1764331404.318024,c2,895,588,True
1764331404.7448857,c3,232,649,True
1764331405.3010015,c4,709,224,True
1764331405.682797,c5,353,448,True
1764331406.0738647,c1,180,176,True
1764331406.756679,c2,797,586,True
1764331407.31035,c3,213,620,True
1764331407.8439596,c4,682,174,True
1764331408.2178493,c5,364,454,True
1764331408.8475428,c1,175,138,True
1764331409.3207629,c2,826,580,True
1764331409.726686,c3,188,600,True
1764331410.2878315,c4,693,182,True
1764331410.767828,c5,453,405,True
1764331411.167052,c1,145,121,True
1764331411.6147513,c2,704,547,False
1764331412.006055,c2,797,524,True
1764331412.403692,c3,235,626,True
1764331412.9729788,c4,682,192,True
1764331413.4008102,c5,433,423,True
1764331413.7536325,c1,154,149,True
1764331414.3978584,c2,782,595,True
1764331414.8870654,c3,162,632,True
1764331415.456971,c4,665,206,True
1764331415.8530552,c5,294,476,False
1764331416.257971,c5,356,415,True
1764331416.6477582,c1,78,147,False
1764331417.1130574,c1,209,203,True
1764331417.5491095,c2,917,536,True
1764331417.983233,c3,227,596,True
1764331418.4708412,c4,676,243,True
1764331418.847353,c5,442,419,True
1764331419.2508252,c1,210,177,True
1764331419.9284692,c2,792,542,True
1764331420.2931213,c3,250,640,True
1764331420.7808013,c4,795,149,False
1764331421.1261787,c4,727,235,True
1764331421.4929624,c5,362,412,True
1764331421.8532245,c1,198,141,True
1764331422.6931636,c2,791,540,True
1764331423.0841064,c3,205,590,True
1764331423.578881,c4,707,197,True
1764331423.939055,c5,327,423,True
1764331424.5031264,c1,231,190,True
1764331425.0119286,c2,821,615,True
1764331425.528941,c3,248,643,True
1764331425.99452,c4,723,158,True
1764331426.3459668,c5,308,420,True
1764331426.8121102,c1,164,139,True
1764331427.2679787,c2,840,602,True
1764331427.7478218,c3,153,614,True
1764331428.3631876,c4,687,202,True
1764331428.6560476,c5,463,445,True
1764331429.046998,c1,160,117,True
1764331429.6078942,c2,785,546,True
1764331429.9824722,c3,253,619,True
1764331430.6207025,c4,687,192,True
1764331430.9208088,c5,399,495,True
1764331431.25784,c1,127,88,True
1764331431.7759972,c2,817,552,True
1764331432.1137187,c3,284,625,True
1764331432.5779185,c4,639,188,True
1764331432.990928,c5,409,398,True
1764331433.3428662,c1,185,123,True
1764331433.7710042,c2,808,546,True
1764331434.1909974,c3,247,583,True
1764331434.7376819,c4,672,209,True
1764331435.0908325,c5,438,406,True
1764331435.4059205,c1,41,141,False
1764331435.7804365,c1,115,139,True
1764331436.3216953,c2,846,544,True
1764331436.681539,c3,227,615,True
1764331437.2660174,c4,708,199,True
1764331437.7540464,c5,392,392,True
1764331438.1369011,c1,204,105,True
1764331438.6828141,c2,785,552,True
1764331439.027737,c3,273,592,True
1764331439.418779,c4,736,190,True
1764331439.8227565,c5,416,384,True
1764331440.145695,c1,191,117,True
1764331440.618147,c2,789,553,True
1764331440.940715,c3,177,591,True
1764331441.420771,c4,758,198,True
1764331441.7366493,c5,382,421,True
1764331442.0879138,c1,74,119,False
1764331442.78691,c1,121,166,True
1764331443.2431033,c2,887,605,True
1764331443.61911,c3,200,615,True
1764331444.0759308,c4,602,236,False
1764331444.570854,c4,695,210,True
1764331444.8930109,c5,382,451,True
1764331445.2468448,c1,177,172,True
1764331445.8682709,c2,785,587,True
1764331446.2429483,c3,283,604,True
1764331446.9108472,c4,637,196,True
1764331447.232969,c5,369,428,True
1764331447.5328653,c1,201,119,True
1764331448.0209043,c2,855,566,True
1764331448.4637976,c3,312,635,False
1764331448.8684068,c3,208,591,True
1764331449.2378688,c4,708,141,True
1764331449.6263313,c5,447,373,True
1764331449.9478147,c1,86,52,False
1764331450.3310685,c1,276,189,False
1764331450.7957911,c1,251,168,True
1764331451.2760024,c2,826,501,True
1764331451.8157687,c3,54,547,False
1764331452.2359805,c3,143,566,True
1764331452.730766,c4,642,200,True
1764331453.0839775,c5,407,443,True
1764331453.4131918,c1,114,95,True
1764331454.0920742,c2,745,552,True
1764331454.620742,c3,230,597,True
1764331455.1236892,c4,689,154,True
1764331455.4917,c5,515,365,False
1764331455.7907681,c5,471,401,True
1764331456.1428108,c1,134,99,True
1764331456.632238,c2,806,587,True
1764331457.0808902,c3,255,631,True
1764331457.5473351,c4,643,172,True
1764331457.94406,c5,428,392,True
1764331458.3027394,c1,223,129,True
1764331459.0159695,c2,766,545,True
1764331459.4278238,c3,237,636,True
