timestamp,target_id,x,y,shape_hit
1764256671.9904695,c1,221,117,True
1764256672.6130977,c2,859,564,True
1764256673.18308,c3,162,619,True
1764256673.6401606,c4,696,113,True
1764256674.0237648,c5,348,430,True
1764256674.413153,c1,168,127,True
1764256674.849246,c2,805,597,True
1764256675.2750597,c3,74,662,False
1764256675.8841035,c3,190,602,True
1764256676.273214,c4,718,196,True
1764256676.655125,c5,394,429,True
1764256677.0152333,c1,219,205,True
1764256677.4813097,c2,755,565,True
1764256677.9370599,c3,147,634,True
1764256678.396293,c4,657,178,True
1764256678.7560878,c5,408,421,True
1764256679.14614,c1,212,187,True
1764256679.6401238,c2,815,597,True
1764256680.0842214,c3,204,641,True
1764256680.4964147,c4,715,173,True
1764256680.8428676,c5,355,437,True
1764256681.2230382,c1,194,153,True
1764256681.6801016,c2,797,548,True
1764256682.0631683,c3,185,649,True
1764256682.490227,c4,693,166,True
1764256682.8210788,c5,393,432,True
1764256683.1810567,c1,170,144,True
1764256683.6609302,c2,750,530,True
1764256684.096198,c3,240,636,True
1764256684.6806958,c4,667,256,True
1764256685.0550876,c5,476,406,True
1764256685.4239762,c1,101,133,True
1764256685.9790986,c2,779,521,True
1764256686.3302724,c3,225,633,True
1764256686.7283092,c4,708,169,True
1764256687.0881577,c5,377,394,True
1764256687.4112747,c1,217,185,True
1764256687.9133441,c2,828,529,True
1764256688.3400362,c3,217,584,True
1764256688.7160797,c4,680,218,True
1764256689.0831404,c5,424,407,True
1764256689.4292195,c1,217,176,True
1764256689.938882,c2,818,555,True
1764256690.3142307,c3,178,637,True
1764256690.7410858,c4,696,195,True
1764256691.062934,c5,412,418,True
1764256691.422951,c1,145,182,True
1764256691.8800688,c2,859,570,True
1764256692.2780426,c3,180,622,True
1764256692.6829872,c4,697,207,True
1764256693.021166,c5,471,397,True
1764256693.3799903,c1,188,191,True
1764256693.7793977,c2,867,542,True
1764256694.1842017,c3,243,622,True
1764256694.564965,c4,657,242,True
1764256694.8800178,c5,387,415,True
1764256695.4285939,c1,271,241,False
1764256695.6830332,c1,196,188,True
1764256696.1041791,c2,818,581,True
1764256696.4780602,c3,264,648,True
1764256696.824094,c4,696,199,True
1764256697.1680217,c5,395,384,True
1764256697.4750245,c1,131,152,True
1764256697.978834,c2,851,537,True
1764256698.3605053,c3,214,616,True
1764256698.736004,c4,676,165,True
1764256699.1190007,c5,389,413,True
1764256699.4559708,c1,197,176,True
1764256699.9880285,c2,869,565,True
1764256700.3709443,c3,228,633,True
1764256700.7982185,c4,626,200,True
1764256701.188931,c5,361,436,True
1764256701.496811,c1,134,142,True
1764256701.9463458,c2,920,571,True
1764256702.343087,c3,182,614,True
1764256702.757482,c4,651,166,True
1764256703.124294,c5,453,368,True
1764256703.4700944,c1,161,158,True
1764256703.8963377,c2,861,604,True
1764256704.2631936,c3,145,617,True
1764256704.6020796,c4,713,154,True
1764256704.9454544,c5,414,406,True
1764256705.2543106,c1,153,181,True
1764256705.665455,c2,786,509,True
1764256706.0401042,c3,211,657,True
1764256706.4000754,c4,626,148,True
1764256706.7449884,c5,338,407,True
1764256707.009841,c1,188,174,True
1764256707.4521043,c2,800,533,True
1764256707.8180306,c3,213,625,True
1764256708.1400356,c4,715,172,True
1764256708.495095,c5,398,392,True
1764256708.7631695,c1,168,169,True
1764256709.215203,c2,814,619,True
1764256709.5730026,c3,168,647,True
1764256709.9404984,c4,656,183,True
1764256710.248277,c5,385,405,True
1764256710.715998,c1,147,153,True
1764256711.1930473,c2,842,596,True
1764256711.5679765,c3,139,633,True
1764256711.9210727,c4,667,183,True
1764256712.2432063,c5,428,405,True
1764256712.5850134,c1,221,169,True
1764256713.2952664,c2,825,592,True
1764256713.6690285,c3,158,658,True
1764256714.0060713,c4,675,174,True
1764256714.3360767,c5,358,424,True
1764256714.6519096,c1,188,188,True
1764256715.094052,c2,753,550,True
1764256715.4612372,c3,199,645,True
1764256715.815316,c4,673,187,True
1764256716.136166,c5,386,428,True
1764256716.4730403,c1,193,195,True
1764256716.8502643,c2,836,553,True
1764256717.2081425,c3,256,610,True
1764256717.561087,c4,623,246,True
1764256717.921058,c5,375,429,True
1764256718.1829588,c1,170,169,True
1764256718.7691433,c2,452,637,False
1764256719.1071355,c2,740,573,True
1764256719.4512155,c3,65,664,False
1764256719.96108,c3,235,580,True
1764256720.3212807,c4,691,199,True
1764256720.8680918,c5,297,366,False
1764256721.2281084,c5,375,383,True
1764256721.535997,c1,210,169,True
1764256721.934324,c2,670,532,False
1764256722.2340512,c2,882,543,True
1764256722.601479,c3,207,617,True
1764256722.9533465,c4,712,197,True
1764256723.2920287,c5,402,418,True
1764256723.6359148,c1,196,135,True
1764256724.0642676,c2,801,525,True
1764256724.4611728,c3,206,628,True
1764256724.8440058,c4,676,212,True
1764256725.1659822,c5,411,457,True
1764256725.4901333,c1,195,168,True
1764256725.9620569,c2,787,576,True
1764256726.352022,c3,201,612,True
1764256726.7871065,c4,689,199,True
1764256727.1159306,c5,417,420,True
1764256727.477341,c1,229,171,True
1764256727.9262564,c2,765,541,True
1764256728.2940674,c3,247,597,True
1764256728.6930785,c4,665,229,True
1764256729.0224845,c5,404,440,True
1764256729.3732595,c1,168,153,True
1764256729.778207,c2,747,542,True
1764256730.1471546,c3,138,649,True
1764256730.5892422,c4,698,164,True
1764256730.9121022,c5,370,422,True
