timestamp,target_id,x,y,shape_hit
1764856686.8279536,c1,238,199,True
1764856687.2860827,c2,848,501,True
1764856687.7350779,c3,206,625,True
1764856688.1857874,c4,695,127,True
1764856688.590858,c5,468,411,True
1764856688.9598205,c1,238,165,True
1764856689.490785,c2,841,581,True
1764856689.9179964,c3,190,639,True
1764856690.353659,c4,680,194,True
1764856690.7048743,c5,393,432,True
1764856691.0748193,c1,164,155,True
1764856691.5838792,c2,836,601,True
1764856691.9736521,c3,203,620,True
1764856692.543779,c4,674,195,True
1764856692.9562001,c5,454,415,True
1764856693.3087447,c1,254,134,True
1764856693.7428493,c2,806,545,True
1764856694.2532055,c3,174,622,True
1764856694.7177618,c4,741,169,True
1764856695.0487442,c5,403,438,True
1764856695.3706021,c1,229,154,True
1764856695.7836332,c2,820,604,True
1764856696.1729944,c3,240,652,True
1764856696.5187426,c4,679,177,True
1764856696.8477778,c5,374,446,True
1764856697.1641638,c1,214,173,True
1764856697.6505928,c2,772,567,True
1764856698.0110993,c3,208,648,True
1764856698.409122,c4,660,199,True
1764856698.7081323,c5,368,435,True
1764856699.043957,c1,200,147,True
1764856699.5356143,c2,827,607,True
1764856699.9617233,c3,232,616,True
1764856700.3957372,c4,676,200,True
1764856700.7506394,c5,433,411,True
1764856701.0371969,c1,214,120,True
1764856701.4647448,c2,808,572,True
1764856701.8783505,c3,230,642,True
1764856702.3217244,c4,655,212,True
1764856702.6167278,c5,405,425,True
1764856702.9576333,c1,201,212,True
1764856703.3499305,c2,835,580,True
1764856703.7140996,c3,173,655,True
1764856704.1064095,c4,684,217,True
1764856704.4172435,c5,340,453,True
1764856704.758853,c1,238,176,True
1764856705.1748495,c2,821,619,True
1764856705.5755544,c3,233,663,True
1764856705.9704304,c4,753,177,True
1764856706.3268192,c5,415,439,True
1764856706.6599832,c1,202,179,True
1764856707.1288512,c2,803,584,True
1764856707.5098448,c3,234,644,True
1764856707.8285968,c4,634,211,True
1764856708.17074,c5,392,418,True
1764856708.5360873,c1,231,173,True
1764856709.0046241,c2,757,532,True
1764856709.557714,c3,206,648,True
1764856709.952047,c4,747,181,True
1764856710.3050146,c5,431,428,True
1764856710.6166787,c1,227,164,True
1764856711.0355914,c2,835,564,True
1764856711.4461224,c3,204,595,True
1764856711.7827258,c4,679,218,True
1764856712.0730524,c5,419,404,True
1764856712.363845,c1,176,188,True
1764856712.8109326,c2,776,555,True
1764856713.184822,c3,200,613,True
1764856713.5226426,c4,645,246,True
1764856713.872678,c5,407,422,True
1764856714.1646936,c1,137,182,True
1764856714.6215088,c2,842,537,True
1764856714.981802,c3,235,593,True
1764856715.285267,c4,749,247,True
1764856715.6147664,c5,401,455,True
1764856715.9365292,c1,173,189,True
1764856716.3335788,c2,802,568,True
1764856716.7662175,c3,199,617,True
1764856717.0951183,c4,653,210,True
1764856717.4487886,c5,415,449,True
1764856717.7768679,c1,228,193,True
1764856718.2028441,c2,842,595,True
1764856718.6144621,c3,201,643,True
1764856718.9817295,c4,623,228,True
1764856719.302808,c5,394,421,True
1764856719.632794,c1,208,165,True
1764856720.067821,c2,841,596,True
1764856720.4345646,c3,199,646,True
1764856720.7328486,c4,636,247,True
1764856721.0619984,c5,394,419,True
1764856721.3847187,c1,188,146,True
1764856721.775666,c2,817,589,True
1764856722.1181433,c3,165,640,True
1764856722.4398413,c4,723,212,True
1764856722.7397356,c5,378,445,True
1764856723.0847664,c1,196,177,True
1764856723.4357674,c2,833,543,True
1764856723.7814643,c3,257,598,True
1764856724.133956,c4,667,251,True
1764856724.4478347,c5,426,460,True
1764856724.7629335,c1,159,158,True
1764856725.1676276,c2,846,587,True
1764856725.5647042,c3,224,643,True
1764856726.132745,c4,695,199,True
1764856726.454778,c5,463,405,True
1764856727.4069028,c1,238,186,True
1764856727.796928,c2,828,574,True
1764856728.201783,c3,237,670,True
1764856728.5527263,c4,696,193,True
1764856728.8908668,c5,399,425,True
1764856729.2207074,c1,193,176,True
1764856729.7977192,c2,802,570,True
1764856730.2395785,c3,228,661,True
1764856730.6066043,c4,637,199,True
1764856730.966754,c5,474,375,True
1764856731.3270419,c1,226,164,True
1764856731.755601,c2,805,566,True
1764856732.1138027,c3,219,630,True
1764856732.4587333,c4,708,178,True
1764856732.8129125,c5,346,427,True
1764856733.090881,c1,155,137,True
1764856733.4736774,c2,802,563,True
1764856733.8399377,c3,195,628,True
1764856734.1557524,c4,721,170,True
1764856734.5236838,c5,338,468,True
1764856734.8537204,c1,219,143,True
1764856735.2358396,c2,864,573,True
1764856735.647935,c3,252,619,True
1764856735.9627197,c4,705,210,True
1764856736.3089254,c5,403,462,True
1764856736.6087024,c1,123,153,True
1764856736.9910042,c2,810,568,True
1764856737.3887653,c3,266,615,True
1764856737.7038727,c4,646,223,True
1764856738.0267737,c5,427,418,True
1764856738.529153,c1,166,162,True
1764856739.0540519,c2,859,561,True
1764856739.4675622,c3,168,597,True
1764856739.8127186,c4,649,200,True
1764856740.1575282,c5,400,425,True
1764856740.4665377,c1,235,133,True
1764856740.877636,c2,788,543,True
1764856741.2316713,c3,268,591,True
1764856741.5967047,c4,640,278,False
1764856742.0436726,c4,708,197,True
1764856742.377991,c5,450,397,True
1764856742.7218788,c1,238,162,True
1764856743.14349,c2,834,553,True
1764856743.5017335,c3,260,602,True
1764856743.8765306,c4,690,190,True
1764856744.231766,c5,394,453,True
1764856744.5907314,c1,244,175,True
1764856745.0038402,c2,790,580,True
1764856745.361874,c3,202,617,True
1764856745.6787152,c4,704,211,True
1764856746.0308402,c5,397,432,True
1764856746.29477,c1,208,155,True
