timestamp,target_id,x,y,shape_hit
1764855625.6117349,c1,198,162,True
1764855626.2716033,c2,759,564,True
1764855626.6918523,c3,112,629,True
1764855627.1936302,c4,661,207,True
1764855627.6226826,c5,434,406,True
1764855628.1157708,c1,192,179,True
1764855628.6717534,c2,886,565,True
1764855629.1218133,c3,222,618,True
1764855629.5405483,c4,766,176,True
1764855629.930713,c5,322,371,True
1764855630.3128257,c1,255,202,True
1764855630.9357955,c2,863,566,True
1764855631.5208423,c3,176,627,True
1764855632.0308368,c4,596,207,True
1764855632.4585605,c5,370,509,False
1764855632.7886682,c5,346,394,True
1764855633.3509064,c1,241,149,True
1764855633.966953,c2,800,578,True
1764855634.3937569,c3,129,606,True
1764855634.9038417,c4,673,250,True
1764855635.3905783,c5,347,418,True
1764855635.8558774,c1,247,197,True
1764855636.5243883,c2,829,552,True
1764855637.0258358,c3,253,597,True
1764855637.4168153,c4,607,248,False
1764855637.7679164,c4,633,232,True
1764855638.2029066,c5,377,418,True
1764855638.6008222,c1,147,154,True
1764855639.1259978,c2,894,610,True
1764855639.9058802,c3,202,588,True
1764855640.4538488,c4,673,210,True
1764855641.0317273,c5,449,393,True
1764855641.4578662,c1,141,178,True
1764855642.1950457,c2,720,578,False
1764855642.5319371,c2,770,569,True
1764855643.025689,c3,147,629,True
1764855643.7527826,c4,736,196,True
1764855644.338667,c5,389,393,True
1764855644.8028502,c1,189,188,True
1764855645.4498534,c2,814,544,True
1764855646.04961,c3,214,618,True
1764855646.64071,c4,714,195,True
1764855647.2338026,c5,446,400,True
1764855647.7138226,c1,155,191,True
1764855648.3286917,c2,816,530,True
1764855648.8157697,c3,167,600,True
1764855649.3188756,c4,673,198,True
1764855649.7097232,c5,414,399,True
1764855650.1149702,c1,228,196,True
1764855650.7738514,c2,797,549,True
1764855651.2909477,c3,248,614,True
1764855651.8166966,c4,711,154,True
1764855652.3047152,c5,463,376,True
1764855652.7538414,c1,248,146,True
1764855653.3457935,c2,821,565,True
1764855653.998776,c3,145,605,True
1764855654.5006742,c4,697,196,True
1764855654.9287775,c5,421,399,True
1764855655.3862052,c1,211,188,True
1764855656.1517782,c2,857,581,True
1764855656.6391048,c3,230,632,True
1764855657.1048622,c4,703,224,True
1764855657.7187428,c5,435,390,True
1764855658.1539457,c1,174,210,True
1764855658.9708,c2,803,569,True
1764855659.5640507,c3,221,605,True
1764855660.1437938,c4,756,217,True
1764855660.780342,c5,308,339,False
1764855661.2069583,c5,397,376,True
1764855661.6639457,c1,197,183,True
1764855662.2787318,c2,812,511,True
1764855662.7607841,c3,133,645,True
1764855663.2987247,c4,632,234,True
1764855663.8906937,c5,479,378,True
1764855664.3638961,c1,87,179,False
1764855664.6407273,c1,204,175,True
1764855665.2647243,c2,845,584,True
1764855665.7807288,c3,259,600,True
1764855666.2909122,c4,682,188,True
1764855666.7717037,c5,433,393,True
1764855667.2521203,c1,250,185,True
1764855667.9709039,c2,792,549,True
1764855668.4748805,c3,187,586,True
1764855668.9698193,c4,695,178,True
1764855669.449233,c5,416,406,True
1764855669.854725,c1,236,169,True
1764855670.5138483,c2,764,592,True
1764855671.120664,c3,53,653,False
1764855671.42875,c3,126,597,True
1764855672.1796849,c4,554,255,False
1764855672.4787292,c4,642,215,True
1764855673.033706,c5,467,394,True
1764855673.4989476,c1,227,192,True
1764855674.1967332,c2,823,546,True
1764855674.661202,c3,219,600,True
1764855675.1648703,c4,669,192,True
1764855675.891775,c5,455,384,True
1764855676.3187537,c1,207,190,True
1764855677.0248222,c2,770,574,True
1764855677.6089182,c3,222,621,True
1764855678.344762,c4,680,179,True
1764855678.7725883,c5,384,395,True
1764855679.2607338,c1,261,150,True
1764855679.8746684,c2,800,581,True
1764855680.5563414,c3,211,580,True
1764855681.3358338,c4,660,240,True
1764855681.8087919,c5,364,395,True
1764855682.2219791,c1,241,194,True
1764855682.8890107,c2,873,580,True
1764855683.684852,c3,176,599,True
1764855684.2406206,c4,653,190,True
1764855684.719275,c5,369,437,True
