timestamp,target_id,x,y,shape_hit
1764255867.6311948,c1,214,105,True
1764255868.2172182,c2,854,609,True
1764255869.1012893,c3,102,639,True
1764255869.7323966,c4,766,173,True
1764255870.1751711,c5,385,422,True
1764255870.6174295,c1,187,149,True
1764255871.2241817,c2,831,596,True
1764255871.876404,c3,176,616,True
1764255872.7611704,c4,749,202,True
1764255873.274075,c5,421,405,True
1764255873.826354,c1,191,162,True
1764255874.6292598,c2,814,576,True
1764255875.2964404,c3,216,630,True
1764255875.8453014,c4,720,206,True
1764255876.2504597,c5,425,442,True
1764255876.6701458,c1,186,165,True
1764255877.35915,c2,893,607,True
1764255877.9742434,c3,133,580,True
1764255878.5442379,c4,709,192,True
1764255878.9113007,c5,388,453,True
1764255879.3692808,c1,200,180,True
1764255880.045104,c2,903,582,True
1764255880.6141093,c3,165,572,True
1764255881.222418,c4,645,215,True
1764255881.6203444,c5,370,454,True
1764255882.1296413,c1,258,178,True
1764255882.7685356,c2,787,556,True
1764255883.299203,c3,238,626,True
1764255883.8852646,c4,669,199,True
1764255884.3043244,c5,428,428,True
1764255884.9943104,c1,195,122,True
1764255885.751251,c2,830,575,True
1764255886.300268,c3,184,617,True
1764255886.8775535,c4,672,185,True
1764255887.2893286,c5,352,480,True
1764255887.851126,c1,200,177,True
1764255888.5343382,c2,846,595,True
1764255889.1871963,c3,159,602,True
1764255889.8092706,c4,610,250,False
1764255890.266191,c4,685,218,True
1764255890.7312193,c5,307,456,False
1764255891.1152806,c5,346,432,True
1764255891.932198,c1,216,182,True
1764255892.6213005,c2,876,611,True
1764255893.1915417,c3,108,608,True
1764255893.8062425,c4,654,195,True
1764255894.3402343,c5,410,418,True
1764255895.067577,c1,217,143,True
1764255895.6963272,c2,860,563,True
1764255896.3494742,c3,223,578,True
1764255896.9642866,c4,730,177,True
1764255897.391134,c5,394,429,True
1764255897.9161851,c1,260,146,True
1764255898.7274697,c2,782,532,True
1764255899.2512202,c3,125,593,True
1764255899.8003435,c4,731,146,True
1764255900.459205,c5,379,397,True
1764255900.9393103,c1,225,200,True
1764255901.6811466,c2,797,558,True
1764255902.1843686,c3,155,628,True
1764255902.717245,c4,732,195,True
1764255903.1371448,c5,467,388,True
1764255903.6703424,c1,129,114,True
1764255904.4271905,c2,729,559,True
1764255905.1774752,c3,207,615,True
1764255905.6791852,c4,726,177,True
1764255906.1147947,c5,431,408,True
1764255906.8642552,c1,194,148,True
1764255907.5252204,c2,785,535,True
1764255908.1552806,c3,181,594,True
1764255908.702109,c4,631,209,True
1764255909.0924742,c5,461,395,True
1764255909.5342247,c1,196,163,True
1764255910.111355,c2,913,564,True
1764255910.7422357,c3,149,634,True
1764255911.222356,c4,708,204,True
1764255911.732251,c5,453,418,True
1764255912.1294634,c1,179,105,True
1764255912.7005427,c2,814,542,True
1764255913.4122326,c3,225,580,True
1764255913.900395,c4,705,204,True
1764255914.2683356,c5,444,420,True
1764255914.6642683,c1,177,157,True
1764255915.206124,c2,804,545,True
1764255915.850063,c3,218,612,True
1764255916.3451586,c4,657,200,True
1764255916.7122586,c5,359,424,True
1764255917.1392696,c1,189,178,True
1764255917.7922747,c2,797,598,True
1764255918.2879865,c3,269,605,True
1764255918.8491347,c4,724,194,True
1764255919.233195,c5,370,461,True
1764255919.697608,c1,237,219,True
1764255920.3422368,c2,884,541,True
1764255920.994481,c3,177,570,True
1764255921.542378,c4,773,187,True
1764255921.9624596,c5,367,445,True
1764255922.3373103,c1,211,164,True
1764255922.9372756,c2,747,545,True
1764255923.4772544,c3,193,576,True
1764255923.995219,c4,797,161,False
1764255924.37729,c4,775,175,True
1764255924.7374053,c5,331,356,True
1764255925.1132426,c1,224,175,True
1764255926.1991432,c2,863,555,True
1764255926.784173,c3,225,595,True
