timestamp,target_id,x,y,shape_hit
1764255699.0306165,c1,199,96,True
1764255699.676112,c2,829,545,True
1764255700.3661585,c3,155,573,True
1764255700.980243,c4,745,181,True
1764255701.4533327,c5,400,389,True
1764255701.911456,c1,236,175,True
1764255702.5861733,c2,791,541,True
1764255703.1932003,c3,146,582,True
1764255703.7623734,c4,653,199,True
1764255704.2882273,c5,392,417,True
1764255704.7451904,c1,168,128,True
1764255705.4813333,c2,805,541,True
1764255706.0136216,c3,189,593,True
1764255706.5700037,c4,703,190,True
1764255707.0107267,c5,461,387,True
1764255707.4543593,c1,179,148,True
1764255708.1953442,c2,790,542,True
1764255708.8042264,c3,210,602,True
1764255709.410417,c4,709,207,True
1764255709.8012838,c5,379,424,True
1764255710.4151967,c1,132,117,True
1764255711.1588564,c2,805,549,True
1764255711.8722126,c3,186,603,True
1764255712.5535479,c4,713,206,True
1764255713.003491,c5,391,458,True
1764255713.4915667,c1,207,174,True
1764255714.181132,c2,826,543,True
1764255714.8721814,c3,202,562,True
1764255715.4713318,c4,732,193,True
1764255716.003253,c5,467,422,True
1764255716.5062566,c1,218,147,True
1764255717.3014321,c2,813,564,True
1764255717.9760637,c3,241,603,True
1764255718.545534,c4,695,219,True
1764255719.0034242,c5,400,431,True
1764255719.5802112,c1,195,160,True
1764255720.2340827,c2,814,594,True
1764255720.8493025,c3,195,586,True
1764255721.389142,c4,746,196,True
1764255721.94417,c5,417,432,True
1764255722.4321551,c1,221,145,True
1764255723.129255,c2,806,537,True
1764255723.7442439,c3,179,614,True
1764255724.3136005,c4,717,226,True
1764255724.7414615,c5,379,455,True
1764255725.236693,c1,213,177,True
1764255725.8283107,c2,796,550,True
1764255726.330381,c3,243,573,True
1764255726.901935,c4,730,123,True
1764255727.425394,c5,348,459,True
1764255727.9150608,c1,137,130,True
1764255728.4910614,c2,822,562,True
1764255729.03927,c3,189,561,True
1764255729.7802265,c4,647,202,True
1764255730.2684126,c5,399,414,True
1764255730.868341,c1,203,143,True
1764255731.536159,c2,808,505,True
1764255732.14414,c3,172,597,True
1764255732.7435954,c4,637,211,True
1764255733.2682145,c5,434,420,True
1764255733.8844035,c1,148,145,True
1764255734.5581195,c2,800,554,True
1764255735.1143255,c3,219,588,True
1764255735.7052824,c4,719,148,True
1764255736.1801815,c5,335,436,True
1764255736.6891742,c1,225,137,True
1764255737.3032312,c2,865,565,True
1764255738.0241914,c3,248,583,True
1764255738.750372,c4,757,198,True
1764255739.210396,c5,389,428,True
1764255739.6568432,c1,213,132,True
1764255740.4247873,c2,817,593,True
1764255741.023299,c3,220,578,True
1764255741.600457,c4,679,209,True
1764255742.0655053,c5,371,412,True
1764255742.5532882,c1,184,144,True
1764255743.2212765,c2,788,560,True
1764255744.1292133,c3,272,594,True
1764255744.735476,c4,676,187,True
1764255745.4121048,c5,455,388,True
1764255746.1308584,c1,245,145,True
1764255746.715733,c2,821,573,True
1764255747.2654214,c3,179,601,True
1764255747.8647058,c4,735,149,True
1764255748.6204069,c5,321,443,True
1764255749.1101604,c1,238,196,True
1764255749.7614698,c2,767,541,True
1764255750.286477,c3,216,601,True
1764255750.8868372,c4,673,170,True
1764255751.3894284,c5,407,371,True
1764255751.8403904,c1,202,129,True
1764255752.484131,c2,796,538,True
1764255753.09124,c3,246,628,True
1764255753.615153,c4,689,224,True
1764255754.176855,c5,443,408,True
1764255754.9741926,c1,203,141,True
1764255755.7461522,c2,831,566,True
1764255756.3391802,c3,178,550,True
1764255756.8783026,c4,671,188,True
1764255757.3064604,c5,434,398,True
1764255757.718114,c1,241,122,True
1764255758.2454374,c2,792,538,True
