timestamp,target_id,x,y,shape_hit
1764855332.9138935,c1,171,139,True
1764855333.4294982,c2,808,573,True
1764855333.7448976,c3,7,688,False
1764855334.0925233,c3,143,622,True
1764855334.5476148,c4,748,32,False
1764855334.8176308,c4,635,239,True
1764855335.2990062,c5,443,363,True
1764855335.6128135,c1,190,182,True
1764855336.0556607,c2,739,515,True
1764855336.43806,c3,125,606,True
1764855336.8203938,c4,689,107,True
1764855337.1501365,c5,314,409,True
1764855337.4498737,c1,157,199,True
1764855338.0803628,c2,878,607,True
1764855338.5377874,c3,26,622,False
1764855338.8678632,c3,122,584,True
1764855339.3637154,c4,717,194,True
1764855339.649915,c5,446,407,True
1764855339.9716055,c1,239,208,True
1764855340.5562012,c2,768,558,True
1764855340.878711,c3,271,634,True
1764855341.2608037,c4,682,123,True
1764855341.679877,c5,393,489,True
1764855342.0397227,c1,194,177,True
1764855342.4526367,c2,849,530,True
1764855342.7909808,c3,261,619,True
1764855343.1960738,c4,733,216,True
1764855343.4878845,c5,413,467,True
1764855343.8096075,c1,180,167,True
1764855344.2676458,c2,793,550,True
1764855344.5909328,c3,193,640,True
1764855344.965947,c4,669,135,True
1764855345.2801862,c5,404,418,True
1764855345.6699007,c1,162,150,True
1764855346.0537965,c2,779,531,True
1764855346.445122,c3,132,618,True
1764855346.8476715,c4,652,149,True
1764855347.1925957,c5,356,423,True
1764855347.6946568,c1,454,295,False
1764855347.9658017,c1,265,212,False
1764855348.6478019,c1,215,166,True
1764855349.1197352,c2,873,548,True
1764855349.4737782,c3,294,597,False
1764855350.0798109,c3,131,668,True
1764855350.5599103,c4,698,220,True
1764855350.867931,c5,452,411,True
1764855351.2349432,c1,145,161,True
1764855351.648294,c2,806,568,True
1764855351.999992,c3,232,626,True
1764855352.373681,c4,686,144,True
1764855352.7052343,c5,354,438,True
1764855353.0885723,c1,142,171,True
1764855353.5227213,c2,832,579,True
1764855353.8984208,c3,173,609,True
1764855354.340735,c4,597,199,True
1764855354.7017539,c5,348,449,True
1764855355.0456676,c1,136,155,True
1764855355.4726372,c2,794,570,True
1764855355.8695378,c3,143,633,True
1764855356.2457633,c4,740,159,True
1764855356.5909388,c5,392,420,True
1764855356.9059234,c1,127,185,True
1764855357.309913,c2,969,581,False
1764855357.6178892,c2,805,581,True
1764855358.082804,c3,202,569,True
1764855358.509842,c4,715,184,True
1764855358.8635948,c5,413,388,True
1764855359.1705515,c1,189,163,True
1764855359.5907784,c2,953,563,False
1764855359.8679569,c2,882,575,True
1764855360.3397696,c3,137,622,True
1764855360.72364,c4,671,253,True
1764855361.0756311,c5,410,413,True
1764855361.4277775,c1,168,158,True
1764855361.8246086,c2,813,584,True
1764855362.2459233,c3,152,591,True
1764855362.6497865,c4,666,235,True
1764855362.9947393,c5,410,431,True
1764855363.3248696,c1,184,224,True
1764855363.7988744,c2,874,645,True
1764855364.2489474,c3,187,635,True
1764855364.6087413,c4,795,211,False
1764855365.0435216,c4,677,260,True
1764855365.4477642,c5,480,398,True
1764855365.8021824,c1,255,188,True
1764855366.2578416,c2,748,528,True
1764855366.7827356,c3,140,583,True
1764855367.1959121,c4,620,240,True
1764855367.5477495,c5,402,401,True
1764855367.9075785,c1,178,151,True
1764855368.4628265,c2,806,544,True
1764855368.859884,c3,218,599,True
1764855369.235769,c4,687,171,True
1764855369.572771,c5,394,434,True
1764855369.9029279,c1,150,158,True
1764855370.332236,c2,794,562,True
1764855370.7604017,c3,186,604,True
1764855371.237772,c4,719,224,True
1764855371.5079997,c5,488,395,True
1764855371.8530877,c1,262,184,True
1764855372.3258548,c2,870,549,True
1764855372.6792,c3,164,597,True
1764855373.1367066,c4,702,217,True
1764855373.43481,c5,484,421,True
1764855373.7532256,c1,200,200,True
1764855374.2002103,c2,754,596,True
1764855374.5758219,c3,220,641,True
1764855374.9808495,c4,762,210,True
1764855375.318005,c5,466,392,True
1764855375.664555,c1,230,189,True
1764855376.0832107,c2,778,536,True
1764855376.4808598,c3,202,592,True
1764855376.9675562,c4,674,216,True
1764855377.2977803,c5,431,407,True
1764855377.6287303,c1,222,171,True
1764855378.0195625,c2,911,560,True
1764855378.4380188,c3,249,596,True
1764855378.8279727,c4,722,189,True
1764855379.1367102,c5,435,437,True
1764855379.48116,c1,207,192,True
1764855379.92409,c2,928,618,False
1764855380.2160187,c2,840,619,True
1764855380.614014,c3,155,627,True
1764855381.0476565,c4,694,222,True
1764855381.4320729,c5,423,401,True
1764855381.7378066,c1,154,158,True
1764855382.1881423,c2,828,583,True
1764855382.5338957,c3,280,568,False
1764855383.0057201,c3,173,608,True
1764855383.4194384,c4,744,162,True
1764855383.7342846,c5,409,438,True
1764855384.1310663,c1,227,211,True
1764855384.8076303,c2,784,576,True
1764855385.263325,c3,283,626,True
1764855385.6676416,c4,654,261,True
1764855385.9905593,c5,385,460,True
1764855386.321778,c1,204,185,True
1764855386.711765,c2,935,645,False
1764855387.0029254,c2,773,640,True
1764855387.4462035,c3,172,664,True
1764855387.8367329,c4,708,210,True
1764855388.128814,c5,402,438,True
1764855388.4590895,c1,191,189,True
1764855388.856823,c2,828,586,True
1764855389.1939821,c3,186,606,True
1764855389.6058316,c4,712,165,True
1764855389.9061134,c5,373,440,True
1764855390.1984386,c1,155,162,True
1764855390.5665202,c2,671,521,False
1764855390.8728232,c2,804,554,True
1764855391.203421,c3,84,555,False
1764855391.6176314,c3,293,555,False
1764855391.931795,c3,179,605,True
