timestamp,target_id,x,y,shape_hit
1764254799.0080912,c1,220,148,True
1764254799.4662983,c2,805,510,True
1764254799.8332632,c3,226,584,True
1764254800.1714242,c4,634,174,True
1764254800.4933934,c5,376,367,True
1764254800.7563818,c1,63,90,False
1764254801.2137723,c1,170,160,True
1764254801.7843723,c2,803,548,True
1764254802.1143672,c3,193,613,True
1764254802.4590783,c4,656,235,True
1764254802.7582586,c5,361,401,True
1764254803.0433023,c1,181,101,True
1764254803.5682151,c2,782,558,True
1764254803.8541543,c3,215,602,True
1764254804.2213807,c4,590,247,False
1764254804.4682417,c4,646,229,True
1764254804.7465954,c5,337,389,True
1764254805.092188,c1,176,135,True
1764254805.5273101,c2,904,584,True
1764254805.8783877,c3,252,620,True
1764254806.2022383,c4,772,185,True
1764254806.5020587,c5,323,390,True
1764254806.8094223,c1,210,110,True
1764254807.3196604,c2,776,595,True
1764254807.843254,c3,161,617,True
1764254808.2262166,c4,624,197,True
1764254808.5262873,c5,391,378,True
1764254808.827151,c1,230,107,True
1764254809.2996938,c2,920,575,True
1764254809.4783278,c3,831,577,False
1764254809.793417,c3,244,593,True
1764254810.199307,c4,666,207,True
1764254810.4842517,c5,323,417,True
1764254810.8132296,c1,182,150,True
1764254811.2863572,c2,796,568,True
1764254811.676439,c3,176,600,True
1764254811.977155,c4,691,243,True
1764254812.2682836,c5,337,430,True
1764254812.5541508,c1,252,171,True
1764254812.9511726,c2,796,600,True
1764254813.281098,c3,257,584,True
1764254813.724132,c4,721,181,True
1764254814.008446,c5,406,413,True
1764254814.316258,c1,230,215,True
1764254814.73648,c2,833,566,True
1764254815.134168,c3,193,603,True
1764254815.5312564,c4,723,194,True
1764254815.7934697,c5,395,449,True
1764254816.0941381,c1,229,187,True
1764254816.4694576,c2,840,609,True
1764254816.8671393,c3,161,643,True
1764254817.1590166,c4,702,215,True
1764254817.429149,c5,288,490,False
1764254817.7811553,c5,439,415,True
1764254818.1560926,c1,176,174,True
1764254818.6373758,c2,817,585,True
1764254819.0032723,c3,131,620,True
1764254819.3640423,c4,711,223,True
1764254819.6572983,c5,417,434,True
1764254819.9643724,c1,220,149,True
1764254820.4592402,c2,831,603,True
1764254820.8262038,c3,105,634,True
1764254821.2161813,c4,695,179,True
1764254821.5317538,c5,340,411,True
1764254821.853532,c1,165,167,True
1764254822.3113263,c2,842,623,True
1764254822.7023022,c3,198,634,True
1764254823.0382953,c4,686,270,True
1764254823.3541353,c5,453,404,True
1764254823.7134209,c1,236,130,True
1764254824.1872506,c2,812,572,True
1764254824.5382466,c3,178,578,True
1764254824.868287,c4,651,223,True
1764254825.1530929,c5,390,398,True
1764254825.431395,c1,166,139,True
1764254825.9043653,c2,769,559,True
1764254826.271262,c3,106,614,True
1764254826.6382623,c4,699,228,True
1764254826.961405,c5,405,399,True
1764254827.23116,c1,232,208,True
1764254827.6581671,c2,832,586,True
1764254828.0411634,c3,65,618,False
1764254828.5130148,c3,217,575,True
1764254828.829435,c4,656,248,True
1764254829.1732502,c5,456,400,True
1764254829.444153,c1,203,126,True
1764254829.902275,c2,823,550,True
1764254830.208156,c3,238,611,True
1764254830.5241988,c4,633,220,True
1764254830.817263,c5,374,403,True
1764254831.109043,c1,135,120,True
1764254831.5363536,c2,766,567,True
1764254831.9271219,c3,228,616,True
1764254832.2804103,c4,815,176,False
1764254832.5572145,c4,680,276,True
1764254832.8862994,c5,404,375,True
1764254833.172193,c1,245,207,True
1764254833.748412,c2,838,527,True
1764254834.153283,c3,310,591,False
1764254834.3710034,c3,160,598,True
1764254834.8073523,c4,651,259,True
1764254835.0911446,c5,429,435,True
1764254835.3682604,c1,152,150,True
1764254835.773729,c2,764,553,True
1764254836.1331837,c3,246,612,True
1764254836.4424653,c4,669,220,True
1764254836.7122095,c5,362,414,True
1764254836.9741035,c1,249,186,True
1764254837.5362003,c2,819,591,True
1764254837.8454556,c3,209,603,True
1764254838.1071987,c4,605,246,False
1764254838.534172,c4,738,222,True
1764254838.8422182,c5,360,398,True
1764254839.1193218,c1,173,135,True
1764254839.5624132,c2,814,558,True
1764254839.8994598,c3,253,572,True
1764254840.2892935,c4,642,223,True
1764254840.529118,c5,389,409,True
1764254840.8444688,c1,209,179,True
1764254841.3312292,c2,819,592,True
1764254841.4293313,c3,766,592,False
1764254841.7595057,c3,174,626,True
1764254842.096217,c4,786,165,True
1764254842.4871724,c5,339,435,True
1764254842.817188,c1,231,161,True
1764254843.1707234,c2,828,552,True
1764254843.5144885,c3,317,600,False
1764254843.7694037,c3,206,602,True
1764254844.0092297,c4,537,364,False
1764254844.317689,c4,668,250,True
1764254844.5643501,c5,405,421,True
1764254844.8803983,c1,260,206,True
1764254845.351553,c2,838,571,True
1764254845.756488,c3,135,638,True
1764254846.1311712,c4,649,257,True
1764254846.4091847,c5,412,381,True
1764254846.7312279,c1,183,144,True
1764254847.031113,c2,746,538,True
1764254847.3622158,c3,132,595,True
1764254847.7971709,c4,612,163,True
1764254848.1503587,c5,366,373,True
1764254848.4262547,c1,218,169,True
1764254848.824401,c2,858,575,True
1764254849.2076669,c3,211,627,True
1764254849.5592947,c4,724,185,True
1764254849.836121,c5,420,394,True
1764254850.1372907,c1,258,216,False
1764254850.5793076,c1,246,162,True
1764254850.9162176,c2,813,706,False
1764254851.1715465,c2,783,579,True
1764254851.4942827,c3,165,597,True
1764254851.7864583,c4,716,257,True
1764254852.0660982,c5,414,418,True
1764254852.3565817,c1,207,116,True
1764254852.8453724,c2,726,570,True
1764254853.2804754,c3,144,553,True
1764254853.7213342,c4,717,229,True
1764254854.007283,c5,348,420,True
1764254854.2843244,c1,141,169,True
1764254854.771236,c2,771,580,True
1764254855.1103652,c3,288,629,True
1764254855.566735,c4,645,270,True
1764254855.882619,c5,417,393,True
1764254856.2121165,c1,158,139,True
